,Unnamed: 0,date,zipcode,pickups,dropoffs,pickup_passengers,dropoff_passengers,FELONIES,MISDEMEANORS,VIOLATIONS,price,date_enc
0,0,01/2010,10001,633332,644894,1062747,1091753,167.0,307.0,32.0,1032.0,0
1,1,01/2010,10002,206659,196853,360603,342895,70.0,254.0,24.0,909.0,0
3,3,01/2010,10004,80761,93585,138038,157080,10.0,15.0,1.0,1108.0,0
4,4,01/2010,10005,49986,60145,83610,99366,15.0,33.0,4.0,984.0,0
5,5,01/2010,10006,34665,33288,58808,55874,2.0,0.0,0.0,879.0,0
6,6,01/2010,10007,59077,57290,98618,97790,14.0,30.0,2.0,1104.0,0
7,7,01/2010,10009,351846,328976,594515,558967,114.0,218.0,37.0,913.0,0
12,12,01/2010,10014,606095,534912,1032506,915645,95.0,120.0,19.0,1123.0,0
15,15,01/2010,10018,333286,306378,557993,514726,87.0,110.0,14.0,1061.0,0
20,20,01/2010,10023,494087,475849,828645,799499,71.0,100.0,27.0,1060.0,0
21,21,01/2010,10024,458631,473848,777021,803678,57.0,121.0,33.0,967.0,0
22,22,01/2010,10025,312426,323102,525820,549050,91.0,233.0,50.0,824.0,0
23,23,01/2010,10026,44405,71834,75462,121636,106.0,275.0,44.0,619.0,0
26,26,01/2010,10029,129840,155093,217342,258906,105.0,345.0,53.0,639.0,0
27,27,01/2010,10030,4388,18665,7826,31983,73.0,170.0,31.0,510.0,0
28,28,01/2010,10031,13654,31649,22988,53931,73.0,200.0,37.0,455.0,0
29,29,01/2010,10032,8690,27534,14794,45904,79.0,136.0,34.0,434.0,0
32,32,01/2010,10035,34287,73793,58988,124053,136.0,404.0,68.0,593.0,0
35,35,01/2010,10038,91084,105296,153680,173611,22.0,59.0,11.0,901.0,0
36,36,01/2010,10039,1384,7989,2551,13842,57.0,138.0,26.0,488.0,0
39,39,01/2010,10065,601893,538128,994188,892886,62.0,76.0,15.0,1061.0,0
40,40,01/2010,10069,315691,293840,530064,493661,45.0,82.0,26.0,1119.0,0
41,41,01/2010,10075,250347,241770,422356,404030,13.0,22.0,2.0,997.0,0
43,43,01/2010,10128,363994,369145,597509,620656,37.0,89.0,13.0,825.0,0
44,44,01/2010,10280,24346,26783,40382,44880,0.0,3.0,1.0,863.0,0
47,47,01/2010,10301,575,971,1052,1702,63.0,201.0,64.0,271.0,0
48,48,01/2010,10302,348,499,559,809,29.0,134.0,26.0,239.0,0
49,49,01/2010,10303,5825,20019,12869,37937,34.0,82.0,28.0,216.0,0
50,50,01/2010,10304,294,608,369,907,30.0,99.0,19.0,256.0,0
51,51,01/2010,10305,790,1280,1115,1922,22.0,84.0,22.0,262.0,0
52,52,01/2010,10306,187,396,321,623,27.0,106.0,24.0,285.0,0
53,53,01/2010,10307,2090,2188,3561,3676,10.0,41.0,9.0,282.0,0
54,54,01/2010,10308,80,203,121,347,26.0,63.0,18.0,281.0,0
55,55,01/2010,10309,256,324,354,473,23.0,68.0,11.0,240.0,0
56,56,01/2010,10310,445,686,937,1304,29.0,98.0,25.0,259.0,0
57,57,01/2010,10312,48,204,79,364,29.0,72.0,22.0,254.0,0
58,58,01/2010,10314,87,395,148,679,41.0,128.0,31.0,252.0,0
67,67,01/2010,10459,771,1951,1898,3962,106.0,266.0,52.0,222.0,0
70,70,01/2010,10462,785,4290,1455,7410,97.0,259.0,54.0,175.0,0
76,76,01/2010,10470,1053,3639,1600,5925,44.0,103.0,20.0,211.0,0
83,83,01/2010,11004,140,469,196,741,6.0,14.0,1.0,407.0,0
87,87,01/2010,11101,23554,25319,38665,42102,27.0,50.0,6.0,491.0,0
88,88,01/2010,11102,19244,34800,31883,59147,53.0,125.0,19.0,497.0,0
89,89,01/2010,11103,15103,38080,26192,64614,74.0,110.0,21.0,413.0,0
90,90,01/2010,11104,28598,36913,49126,63963,54.0,94.0,25.0,437.0,0
91,91,01/2010,11105,6680,23374,12103,40764,34.0,51.0,7.0,371.0,0
94,94,01/2010,11201,76219,99519,127710,166375,71.0,228.0,42.0,640.0,0
95,95,01/2010,11203,319,2507,545,4048,99.0,176.0,30.0,250.0,0
96,96,01/2010,11204,447,2547,723,4359,58.0,78.0,19.0,366.0,0
98,98,01/2010,11206,4629,25679,8072,43666,144.0,301.0,59.0,289.0,0
99,99,01/2010,11207,463,2036,837,3516,197.0,429.0,62.0,270.0,0
100,100,01/2010,11208,696,2169,1273,3765,172.0,323.0,48.0,261.0,0
102,102,01/2010,11210,471,3292,763,5457,96.0,164.0,28.0,320.0,0
104,104,01/2010,11212,304,1930,460,3253,198.0,399.0,89.0,275.0,0
106,106,01/2010,11214,448,2822,717,4792,75.0,117.0,34.0,372.0,0
107,107,01/2010,11215,11415,51394,19615,86852,73.0,122.0,9.0,564.0,0
115,115,01/2010,11223,1595,4453,2718,7720,74.0,140.0,30.0,402.0,0
116,116,01/2010,11224,500,1068,778,1769,51.0,165.0,32.0,341.0,0
118,118,01/2010,11226,777,6741,1290,11409,197.0,307.0,48.0,321.0,0
119,119,01/2010,11228,438,4178,671,7162,38.0,109.0,20.0,396.0,0
122,122,01/2010,11231,23752,32998,40581,55320,47.0,101.0,26.0,601.0,0
123,123,01/2010,11232,1158,5008,2058,8640,49.0,82.0,12.0,463.0,0
125,125,01/2010,11234,670,2503,918,4105,94.0,168.0,41.0,329.0,0
126,126,01/2010,11235,730,3293,1031,5565,69.0,144.0,18.0,412.0,0
131,131,01/2010,11354,1037,3330,1604,5384,40.0,72.0,16.0,396.0,0
132,132,01/2010,11355,6065,6076,8929,9379,73.0,137.0,21.0,386.0,0
133,133,01/2010,11356,805,2106,1418,3518,21.0,44.0,2.0,341.0,0
134,134,01/2010,11357,854,2478,1202,3995,20.0,27.0,9.0,415.0,0
135,135,01/2010,11358,231,1696,398,2855,25.0,54.0,6.0,376.0,0
137,137,01/2010,11361,147,1477,265,2582,36.0,41.0,6.0,406.0,0
138,138,01/2010,11362,206,726,388,1245,10.0,13.0,4.0,422.0,0
139,139,01/2010,11363,360,1024,690,1871,1.0,9.0,0.0,453.0,0
140,140,01/2010,11364,200,1307,345,2233,24.0,51.0,7.0,418.0,0
141,141,01/2010,11365,273,1642,459,2719,21.0,32.0,5.0,384.0,0
142,142,01/2010,11366,326,2107,488,3489,23.0,29.0,8.0,386.0,0
143,143,01/2010,11367,2459,6486,3518,10139,43.0,87.0,25.0,339.0,0
144,144,01/2010,11368,3259,7605,5129,12816,95.0,200.0,30.0,375.0,0
145,145,01/2010,11369,270,1557,440,2564,17.0,40.0,4.0,294.0,0
147,147,01/2010,11372,9112,27552,15066,47329,155.0,268.0,46.0,345.0,0
149,149,01/2010,11374,3338,11581,5272,19053,73.0,127.0,17.0,381.0,0
150,150,01/2010,11375,12144,17578,18943,29100,48.0,91.0,10.0,437.0,0
151,151,01/2010,11377,11163,19019,19273,32622,57.0,63.0,18.0,358.0,0
152,152,01/2010,11378,2172,6943,4057,12007,39.0,62.0,16.0,343.0,0
153,153,01/2010,11379,623,3560,1134,6082,18.0,41.0,11.0,350.0,0
154,154,01/2010,11385,566,2964,979,5071,52.0,84.0,31.0,322.0,0
155,155,01/2010,11411,289,988,694,1851,41.0,28.0,9.0,298.0,0
156,156,01/2010,11412,191,757,363,1325,67.0,49.0,22.0,252.0,0
157,157,01/2010,11413,586,1250,1152,2187,51.0,114.0,22.0,265.0,0
158,158,01/2010,11414,525,1083,1192,2052,22.0,31.0,5.0,301.0,0
159,159,01/2010,11415,2504,7490,4120,12482,35.0,60.0,14.0,338.0,0
160,160,01/2010,11416,201,1133,422,1943,44.0,48.0,17.0,260.0,0
161,161,01/2010,11417,289,1244,570,2295,34.0,47.0,19.0,285.0,0
162,162,01/2010,11418,511,2356,833,3953,42.0,73.0,18.0,272.0,0
163,163,01/2010,11419,706,1807,1136,2981,54.0,84.0,28.0,269.0,0
164,164,01/2010,11420,318,1079,498,1782,36.0,38.0,14.0,276.0,0
165,165,01/2010,11421,442,2409,764,4017,55.0,95.0,16.0,259.0,0
166,166,01/2010,11422,615,1849,1131,3143,42.0,71.0,15.0,284.0,0
167,167,01/2010,11423,633,1877,1181,3313,50.0,63.0,12.0,283.0,0
168,168,01/2010,11426,305,718,473,1173,16.0,16.0,1.0,327.0,0
169,169,01/2010,11427,243,885,422,1554,32.0,31.0,5.0,323.0,0
170,170,01/2010,11428,133,453,237,763,15.0,25.0,7.0,292.0,0
